epoch 104: steps 204, actor loss -0.796714, critic loss 0.359228
epoch 105: steps 181, actor loss -0.782929, critic loss 0.381238
epoch 106: steps 182, actor loss -0.783812, critic loss 0.354048
epoch 107: steps 189, actor loss -0.780326, critic loss 0.353562
epoch 108: steps 204, actor loss -0.789964, critic loss 0.360674
epoch 109: steps 148, actor loss -0.75455, critic loss 0.322604
epoch 110: steps 181, actor loss -0.771956, critic loss 0.356694
epoch 111: steps 220, actor loss -0.789573, critic loss 0.350756
epoch 112: steps 205, actor loss -0.77637, critic loss 0.357207
epoch 113: steps 270, actor loss -0.802609, critic loss 0.365114
epoch 114: steps 192, actor loss -0.768565, critic loss 0.33825
epoch 115: steps 192, actor loss -0.768699, critic loss 0.334373
epoch 116: steps 215, actor loss -0.771904, critic loss 0.362612
epoch 117: steps 212, actor loss -0.770793, critic loss 0.348975
epoch 118: steps 231, actor loss -0.778477, critic loss 0.339585
epoch 119: steps 217, actor loss -0.768112, critic loss 0.327379
epoch 120: steps 194, actor loss -0.748614, critic loss 0.346772
epoch 121: steps 264, actor loss -0.781374, critic loss 0.353968
epoch 122: steps 329, actor loss -0.790845, critic loss 0.34925
epoch 123: steps 261, actor loss -0.771874, critic loss 0.3498
epoch 124: steps 238, actor loss -0.759729, critic loss 0.349352
epoch 125: steps 220, actor loss -0.758301, critic loss 0.336177
epoch 126: steps 251, actor loss -0.757909, critic loss 0.340779
epoch 127: steps 257, actor loss -0.756882, critic loss 0.353179
epoch 128: steps 241, actor loss -0.754999, critic loss 0.349951
epoch 129: steps 319, actor loss -0.779758, critic loss 0.343231
epoch 130: steps 249, actor loss -0.749894, critic loss 0.352698
epoch 131: steps 279, actor loss -0.760894, critic loss 0.327383
epoch 132: steps 219, actor loss -0.748305, critic loss 0.305425
epoch 133: steps 266, actor loss -0.753929, critic loss 0.347645
epoch 134: steps 314, actor loss -0.766387, critic loss 0.33469
epoch 135: steps 198, actor loss -0.718891, critic loss 0.311569
epoch 136: steps 334, actor loss -0.767598, critic loss 0.336127
epoch 137: steps 276, actor loss -0.755518, critic loss 0.324563
epoch 138: steps 280, actor loss -0.75235, critic loss 0.308955
epoch 139: steps 251, actor loss -0.737622, critic loss 0.302687
epoch 140: steps 188, actor loss -0.698072, critic loss 0.293198
