epoch 104: steps 204, actor loss 0.484735, critic loss 0.370866
epoch 105: steps 179, actor loss 0.46982, critic loss 0.332007
epoch 106: steps 204, actor loss 0.474139, critic loss 0.380391
epoch 107: steps 188, actor loss 0.465331, critic loss 0.327808
epoch 108: steps 239, actor loss 0.487428, critic loss 0.333239
epoch 109: steps 207, actor loss 0.47551, critic loss 0.349319
epoch 110: steps 171, actor loss 0.426246, critic loss 0.427051
epoch 111: steps 159, actor loss 0.427816, critic loss 0.372098
epoch 112: steps 150, actor loss 0.471656, critic loss 0.278544
epoch 113: steps 219, actor loss 0.470798, critic loss 0.327983
epoch 114: steps 189, actor loss 0.470975, critic loss 0.336251
epoch 115: steps 153, actor loss 0.44328, critic loss 0.35108
epoch 116: steps 162, actor loss 0.459032, critic loss 0.293698
epoch 117: steps 224, actor loss 0.481535, critic loss 0.315768
epoch 118: steps 287, actor loss 0.473286, critic loss 0.333709
epoch 119: steps 204, actor loss 0.446552, critic loss 0.373224
epoch 120: steps 196, actor loss 0.448916, critic loss 0.368067
epoch 121: steps 209, actor loss 0.437925, critic loss 0.379384
epoch 122: steps 184, actor loss 0.452414, critic loss 0.363574
epoch 123: steps 241, actor loss 0.478857, critic loss 0.340703
epoch 124: steps 177, actor loss 0.424834, critic loss 0.391397
epoch 125: steps 208, actor loss 0.458323, critic loss 0.347554
epoch 126: steps 218, actor loss 0.468684, critic loss 0.364862
epoch 127: steps 261, actor loss 0.481702, critic loss 0.338957
epoch 128: steps 199, actor loss 0.477823, critic loss 0.290376
epoch 129: steps 229, actor loss 0.46592, critic loss 0.335254
epoch 130: steps 161, actor loss 0.453191, critic loss 0.309303
epoch 131: steps 253, actor loss 0.46458, critic loss 0.348142
epoch 132: steps 304, actor loss 0.493062, critic loss 0.333646
epoch 133: steps 310, actor loss 0.472856, critic loss 0.3238
epoch 134: steps 186, actor loss 0.434569, critic loss 0.378597
epoch 135: steps 212, actor loss 0.457815, critic loss 0.307048
epoch 136: steps 267, actor loss 0.462217, critic loss 0.369443
epoch 137: steps 361, actor loss 0.492808, critic loss 0.350893
epoch 138: steps 233, actor loss 0.469484, critic loss 0.313423
epoch 139: steps 280, actor loss 0.455143, critic loss 0.355499
epoch 140: steps 168, actor loss 0.434011, critic loss 0.263474
epoch 141: steps 274, actor loss 0.465398, critic loss 0.338294
epoch 142: steps 305, actor loss 0.468209, critic loss 0.326991
epoch 143: steps 270, actor loss 0.451825, critic loss 0.35295
epoch 144: steps 177, actor loss 0.444169, critic loss 0.2781
epoch 145: steps 324, actor loss 0.470011, critic loss 0.358103
epoch 146: steps 272, actor loss 0.453398, critic loss 0.360665
epoch 147: steps 247, actor loss 0.450139, critic loss 0.348097
epoch 148: steps 243, actor loss 0.439171, critic loss 0.315224
epoch 149: steps 268, actor loss 0.474645, critic loss 0.323513
epoch 150: steps 215, actor loss 0.438915, critic loss 0.300564
epoch 151: steps 426, actor loss 0.471778, critic loss 0.317849
epoch 152: steps 359, actor loss 0.447255, critic loss 0.331364
epoch 153: steps 180, actor loss 0.428773, critic loss 0.293972
epoch 154: steps 292, actor loss 0.427844, critic loss 0.354557
epoch 155: steps 356, actor loss 0.452195, critic loss 0.29974
epoch 156: steps 280, actor loss 0.439206, critic loss 0.314348
epoch 157: steps 429, actor loss 0.472167, critic loss 0.342379
epoch 158: steps 488, actor loss 0.44445, critic loss 0.337213
